"Name","Location","Function Signature","Function Size"
"runtime.(*waitq).dequeue","004059c0","undefined runtime.(*waitq).dequeue(int * * param_1)","249"
"runtime.GOMAXPROCS","00405ac0","undefined runtime.GOMAXPROCS(int param_1)","150"
"runtime.gogetenv","00405b60","undefined runtime.gogetenv(int param_1\, uint param_2)","280"
"runtime.(*TypeAssertionError).Error","00405c80","undefined runtime.(*TypeAssertionError).Error(undefined4 * param_1\, int param_2)","1"
"runtime.errorString.Error","00406010","undefined runtime.errorString.Error(undefined4 param_1\, undefined4 param_2)","1"
"runtime.errorAddressString.Error","00406070","undefined runtime.errorAddressString.Error(undefined4 param_1\, undefined4 param_2)","1"
"runtime.plainError.Error","004060d0","undefined runtime.plainError.Error(void)","1"
"runtime.boundsError.Error","00406100","undefined runtime.boundsError.Error(uint param_1\, uint param_2\, uint param_3\, uint param_4)","1"
"runtime.printany","00406a10","undefined runtime.printany(undefined * param_1\, double * param_2)","1470"
"runtime.printanycustomtype","00406fd0","undefined runtime.printanycustomtype(undefined * param_1\, double * param_2)","2142"
"runtime.panicwrap","00407830","undefined runtime.panicwrap(void)","1"
"runtime.runExitHooks","00407b90","undefined runtime.runExitHooks(int param_1)","295"
"runtime.memhash32Fallback","00407cc0","undefined runtime.memhash32Fallback(undefined4 param_1\, undefined4 param_2\, undefined4 param_3)","95"
"runtime.memhash64Fallback","00407d20","undefined runtime.memhash64Fallback(undefined4 param_1\, undefined4 param_2\, undefined4 param_3)","94"
"runtime.memhashFallback","00407d80","undefined runtime.memhashFallback(undefined4 param_1\, undefined4 param_2\, uint param_3)","210"
"runtime.(*timeHistogram).record","00407e60","undefined runtime.(*timeHistogram).record(int param_1\, uint param_2\, uint param_3)","512"
"runtime.getitab","00408060","undefined runtime.getitab(undefined * param_1\, undefined * param_2\, char param_3)","763"
"runtime.(*itabTableType).find","00408360","undefined runtime.(*itabTableType).find(undefined4 param_1\, int param_2\, int param_3)","166"
"runtime.itabAdd","00408410","undefined runtime.itabAdd(int * param_1)","287"
"runtime.(*itabTableType).add","00408530","undefined runtime.(*itabTableType).add(int * param_1\, int * param_2)","112"
"runtime.(*itab).init","004085a0","undefined runtime.(*itab).init(undefined4 * param_1)","1022"
"runtime.itabsinit","004089a0","undefined runtime.itabsinit(void)","199"
"runtime.panicdottypeE","00408a70","undefined runtime.panicdottypeE(undefined4 param_1\, undefined4 param_2\, undefined4 param_3)","152"
"runtime.panicdottypeI","00408b10","undefined runtime.panicdottypeI(int param_1\, undefined4 param_2\, undefined4 param_3)","182"
"runtime.convT","00408bd0","undefined runtime.convT(uint * * param_1\, undefined4 * param_2)","95"
"runtime.convTnoptr","00408c30","undefined runtime.convTnoptr(uint * * param_1\, undefined4 * param_2)","97"
"runtime.convT32","00408ca0","undefined runtime.convT32(uint param_1)","95"
"runtime.convTstring","00408d00","undefined runtime.convTstring(undefined4 param_1\, int param_2)","117"
"runtime.convTslice","00408d80","undefined runtime.convTslice(int param_1\, int param_2\, int param_3)","120"
"runtime.assertE2I2","00408e00","undefined runtime.assertE2I2(undefined * param_1\, undefined * param_2)","121"
"runtime.iterate_itabs","00408e80","undefined runtime.iterate_itabs(undefined * * param_1)","84"
"runtime.unreachableMethod","00408ee0","undefined runtime.unreachableMethod(void)","51"
"runtime.(*lfstack).push","00408f20","undefined runtime.(*lfstack).push(longlong * param_1\, undefined4 * param_2)","118"
"runtime.(*lfstack).pop","00408fa0","undefined runtime.(*lfstack).pop(longlong * param_1)","171"
"runtime.lfnodeValidate","00409050","undefined runtime.lfnodeValidate(uint param_1)","91"
"runtime.lock","004090b0","undefined runtime.lock(int * param_1)","52"
"runtime.lock2","004090f0","undefined runtime.lock2(int * param_1)","453"
"runtime.unlock","004092c0","undefined runtime.unlock(int * param_1)","44"
"runtime.unlock2","004092f0","undefined runtime.unlock2(int * param_1)","228"
"runtime.notewakeup","004093e0","undefined runtime.notewakeup(int * param_1)","127"
"runtime.notesleep","00409460","undefined runtime.notesleep(int * param_1)","307"
"runtime.notetsleep_internal","004095a0","undefined runtime.notetsleep_internal(int * param_1\, uint param_2\, int param_3)","674"
"runtime.notetsleep","00409850","undefined runtime.notetsleep(int * param_1\, uint param_2\, int param_3)","147"
"runtime.notetsleepg","004098f0","undefined runtime.notetsleepg(int * param_1\, uint param_2\, int param_3)","170"
"runtime.lockRank.String","004099a0","undefined runtime.lockRank.String(int param_1)","1"
"runtime.lockWithRank","00409a30","undefined runtime.lockWithRank(int * param_1)","44"
"runtime.unlockWithRank","00409a60","undefined runtime.unlockWithRank(int * param_1)","44"
"runtime.mallocinit","00409a90","undefined runtime.mallocinit(void)","1117"
"runtime.(*mheap).sysAlloc","00409ef0","undefined runtime.(*mheap).sysAlloc(IMAGE_DOS_HEADER * param_1\, int param_2\, IMAGE_DOS_HEADER * * param_3\, byte param_4)","1467"
"runtime.sysReserveAligned","0040a4b0","undefined runtime.sysReserveAligned(undefined4 param_1\, uint param_2\, int param_3)","277"
"runtime.nextFreeFast","0040a5d0","undefined runtime.nextFreeFast(int param_1)","267"
"runtime.(*mcache).nextFree","0040a6e0","undefined runtime.(*mcache).nextFree(int param_1\, byte param_2)","538"
"runtime.mallocgc","0040a900","undefined runtime.mallocgc(uint * param_1\, uint * * param_2\, char param_3)","1915"
"runtime.deductAssistCredit","0040b080","undefined runtime.deductAssistCredit(uint param_1)","128"
"runtime.memclrNoHeapPointersChunked","0040b100","undefined runtime.memclrNoHeapPointersChunked(int param_1\, undefined[16] * param_2)","144"
"runtime.newobject","0040b190","undefined runtime.newobject(undefined4 * param_1)","63"
"runtime.newarray","0040b1d0","undefined runtime.newarray(uint * * param_1\, uint param_2)","150"
"runtime.profilealloc","0040b270","undefined runtime.profilealloc(int param_1\, undefined4 param_2\, uint * param_3)","143"
"runtime.fastexprand","0040b300","undefined runtime.fastexprand(int param_1)","472"
"runtime.persistentalloc","0040b4e0","undefined runtime.persistentalloc(undefined4 param_1\, undefined4 param_2\, undefined4 param_3\, undefined4 param_4)","113"
"runtime.persistentalloc.func1","0040b560","undefined runtime.persistentalloc.func1(undefined4 param_1\, int param_2)","74"
"runtime.persistentalloc1","0040b5b0","undefined runtime.persistentalloc1(uint param_1\, uint param_2\, longlong * param_3)","678"
"runtime.inPersistentAlloc","0040b860","undefined runtime.inPersistentAlloc(undefined4 * param_1)","65"
"runtime.(*linearAlloc).alloc","0040b8b0","undefined runtime.(*linearAlloc).alloc(uint * param_1\, int param_2\, int param_3\, longlong * param_4)","193"
"runtime.(*hmap).incrnoverflow","0040b980","undefined runtime.(*hmap).incrnoverflow(int param_1)","151"
"runtime.(*hmap).newoverflow","0040ba20","undefined runtime.(*hmap).newoverflow(int param_1\, int param_2\, int param_3)","583"
"runtime.makemap_small","0040bc70","undefined runtime.makemap_small(undefined4 param_1)","123"
"runtime.makemap","0040bcf0","undefined runtime.makemap(int param_1\, uint param_2\, uint param_3)","367"
"runtime.makeBucketArray","0040be60","undefined runtime.makeBucketArray(int param_1\, byte param_2\, undefined[16] * param_3)","480"
"runtime.mapaccess2","0040c040","undefined runtime.mapaccess2(int param_1\, int * param_2\, undefined4 param_3)","473"
"runtime.mapaccessK","0040c220","undefined runtime.mapaccessK(int param_1\, int * param_2\, undefined4 param_3)","412"
"runtime.mapassign","0040c3c0","undefined runtime.mapassign(uint * * param_1\, uint * * param_2\, undefined4 * param_3)","1239"
"runtime.mapiterinit","0040c8a0","undefined runtime.mapiterinit(uint param_1\, int * param_2\, uint * param_3)","553"
"runtime.mapiternext","0040cad0","undefined runtime.mapiternext(uint * param_1)","1128"
"runtime.hashGrow","0040cf40","undefined runtime.hashGrow(int param_1\, int * param_2)","453"
"runtime.growWork","0040d110","undefined runtime.growWork(uint * * param_1\, uint * * param_2\, uint param_3)","121"
"runtime.evacuate","0040d190","undefined runtime.evacuate(uint * * param_1\, uint * * param_2\, uint * param_3\, undefined4 param_4\, uint param_5)","1163"
"runtime.advanceEvacuationMark","0040d620","undefined runtime.advanceEvacuationMark(int param_1\, int param_2\, uint param_3)","188"
"runtime.mapaccess1_fast32","0040d6e0","undefined runtime.mapaccess1_fast32(int param_1\, int * param_2\, int param_3\, undefined4 param_4)","322"
"runtime.mapaccess2_fast32","0040d830","undefined runtime.mapaccess2_fast32(int param_1\, int * param_2\, int param_3\, undefined4 param_4\, undefined param_5)","337"
"runtime.mapassign_fast32","0040d990","undefined runtime.mapassign_fast32(undefined4 * param_1\, int * param_2\, int param_3\, undefined4 param_4)","737"
"runtime.mapassign_fast32ptr","0040dc80","undefined runtime.mapassign_fast32ptr(undefined4 * param_1\, int * param_2\, int param_3\, undefined4 param_4)","762"
"runtime.growWork_fast32","0040df80","undefined runtime.growWork_fast32(undefined4 * param_1\, undefined4 * param_2\, uint param_3)","121"
"runtime.evacuate_fast32","0040e000","undefined runtime.evacuate_fast32(undefined4 * param_1\, undefined4 * param_2\, int param_3\, undefined4 param_4\, uint param_5)","887"
"runtime.mapaccess1_faststr","0040e380","undefined runtime.mapaccess1_faststr(int param_1\, int * param_2\, int * param_3\, int * param_4\, undefined4 param_5)","812"
"runtime.mapassign_faststr","0040e6b0","undefined runtime.mapassign_faststr(undefined4 * param_1\, int * param_2\, int * param_3\, int * param_4\, undefined4 param_5)","909"
"runtime.growWork_faststr","0040ea40","undefined runtime.growWork_faststr(undefined4 * param_1\, undefined4 * param_2\, uint param_3)","121"
"runtime.evacuate_faststr","0040eac0","undefined runtime.evacuate_faststr(undefined4 * param_1\, undefined4 * param_2\, int param_3\, undefined4 param_4\, uint param_5)","860"
"runtime.typedmemmove","0040ee20","undefined runtime.typedmemmove(uint * param_1\, undefined4 * param_2\, undefined4 * param_3)","154"
"runtime.reflectcallmove","0040eec0","undefined runtime.reflectcallmove(int param_1\, undefined4 * param_2\, undefined4 * param_3\, uint param_4)","112"
"runtime.typedslicecopy","0040ef30","undefined runtime.typedslicecopy(uint * param_1\, undefined4 * param_2\, int param_3\, undefined4 * param_4\, int param_5)","195"
"runtime.typedmemclr","0040f000","undefined runtime.typedmemclr(uint * param_1\, undefined[16] * param_2)","81"
"runtime.memclrHasPointers","0040f060","undefined runtime.memclrHasPointers(undefined[16] * param_1\, uint param_2)","55"
"runtime.(*mspan).refillAllocCache","0040f0a0","undefined runtime.(*mspan).refillAllocCache(int param_1\, int param_2)","176"
"runtime.(*mspan).nextFreeIndex","0040f150","undefined runtime.(*mspan).nextFreeIndex(int param_1)","405"
"runtime.badPointer","0040f2f0","undefined runtime.badPointer(int param_1\, uint param_2\, uint param_3\, uint param_4)","594"
"runtime.findObject","0040f550","uint runtime.findObject(uint param_1\, uint param_2\, uint param_3)","271"
"runtime.heapBitsForAddr","0040f660","undefined runtime.heapBitsForAddr(uint param_1\, uint param_2)","201"
"runtime.heapBits.next","0040f730","undefined runtime.heapBits.next(int param_1\, int param_2\, uint param_3\, int param_4)","179"
"runtime.heapBits.nextFast","0040f7f0","undefined runtime.heapBits.nextFast(undefined4 param_1\, undefined4 param_2\, uint param_3)","115"
"runtime.bulkBarrierPreWrite","0040f870","undefined runtime.bulkBarrierPreWrite(uint param_1\, uint param_2\, uint param_3)","781"
"runtime.bulkBarrierPreWriteSrcOnly","0040fb80","undefined runtime.bulkBarrierPreWriteSrcOnly(uint param_1\, uint param_2\, uint param_3)","297"
"runtime.bulkBarrierBitmap","0040fcb0","undefined runtime.bulkBarrierBitmap(int param_1\, int param_2\, uint param_3\, uint param_4\, int param_5)","331"
"runtime.typeBitsBulkBarrier","0040fe00","undefined runtime.typeBitsBulkBarrier(uint * param_1\, int param_2\, int param_3\, uint param_4)","586"
"runtime.(*mspan).initHeapBits","00410050","undefined runtime.(*mspan).initHeapBits(int param_1\, char param_2)","124"
"runtime.(*mspan).countAlloc","004100d0","undefined runtime.(*mspan).countAlloc(int param_1)","313"
"runtime.writeHeapBits.write","00410210","undefined runtime.writeHeapBits.write(uint param_1\, uint param_2\, uint param_3\, uint param_4\, int param_5\, int param_6)","321"
"runtime.writeHeapBits.pad","00410360","undefined runtime.writeHeapBits.pad(uint param_1\, uint param_2\, uint param_3\, uint param_4\, uint param_5)","236"
"runtime.writeHeapBits.flush","00410450","undefined runtime.writeHeapBits.flush(uint param_1\, uint param_2\, uint param_3\, uint param_4\, int param_5\, int param_6)","443"
"runtime.heapBitsSetType","00410610","undefined runtime.heapBitsSetType(undefined[16] * param_1\, int param_2\, uint param_3\, uint * param_4)","1441"
"runtime.progToPointerMask","00410bc0","undefined runtime.progToPointerMask(byte * param_1\, uint param_2)","206"
"runtime.runGCProg","00410c90","undefined runtime.runGCProg(byte * param_1\, byte * param_2)","987"
"runtime.materializeGCProg","00411070","undefined runtime.materializeGCProg(int param_1\, int param_2)","112"
"runtime.allocmcache","004110e0","undefined runtime.allocmcache(undefined4 param_1)","182"
"runtime.allocmcache.func1","004111a0","undefined runtime.allocmcache.func1(undefined4 param_1\, int param_2)","119"
"runtime.freemcache","00411220","undefined runtime.freemcache(undefined4 param_1)","78"
"runtime.freemcache.func1","00411270","undefined runtime.freemcache.func1(undefined4 param_1\, int param_2)","127"
"runtime.(*mcache).refill","004112f0","undefined runtime.(*mcache).refill(int param_1\, byte param_2)","638"
